audio_feature,t,p,degrees_of_freedom
acousticness,-9.77519641743755,1.2548829944949477e-21,1013.0
danceability,8.628607069210146,2.371102171699612e-17,1013.0
energy,10.872316023741401,4.0546507456358747e-26,1013.0
instrumentalness,-0.7706756001568323,0.44107894056261,1013.0
key,0.18149947551582957,0.8560118537483438,1013.0
liveness,0.5085910998347402,0.6111496112193542,1013.0
loudness,8.462691550070035,9.056423275893879e-17,1013.0
speechiness,6.990546971268457,4.9614202542683956e-12,1013.0
tempo,0.2075688568369299,0.8356073430756059,1013.0
valence,10.060767662528663,9.253096395223522e-23,1013.0
