audio_feature,t,p,degrees_of_freedom
acousticness,-3.4718597212628786,0.00053861876112877,1016.0
danceability,6.0451984350938055,2.0932182789593742e-09,1016.0
energy,5.2394831036535034,1.957575881701505e-07,1016.0
instrumentalness,-24.944336673566326,1.6174460855634192e-107,1016.0
key,0.04719160930775205,0.9623697891530413,1016.0
liveness,0.5266127628554034,0.5985774722693384,1016.0
loudness,13.041448610733847,4.6754191782303746e-36,1016.0
speechiness,4.002073172103636,6.735111208413254e-05,1016.0
tempo,1.956173582828369,0.05071839829869656,1016.0
valence,14.12097700260505,1.7906331852654163e-41,1016.0
