audio_feature,t,p,degrees_of_freedom
acousticness,-25.55630089376402,2.4610359840146275e-110,961.0
danceability,14.756652464740382,1.4260137547113974e-44,961.0
energy,26.92181702962136,2.0577799294186889e-119,961.0
instrumentalness,-1.2750465786346574,0.20260092523897238,961.0
key,0.2535141802245803,0.7999251292247654,961.0
liveness,6.0436632423772405,2.1528065912144306e-09,961.0
loudness,18.523505111409968,9.718757927186278e-66,961.0
speechiness,7.143346156828563,1.7978291581327357e-12,961.0
tempo,0.7092042841771025,0.47836973305393415,961.0
valence,22.365331623927307,1.573357758311103e-89,961.0
