audio_feature,t,p,degrees_of_freedom
acousticness,9.58900783361193,6.442257209370278e-21,1030.0
danceability,-6.334093797511605,3.56067269884012e-10,1030.0
energy,-11.365961187739414,2.761100235810285e-28,1030.0
instrumentalness,9.31057473610464,7.448167577389619e-20,1030.0
key,0.23759979446829788,0.8122387625277523,1030.0
liveness,-2.355949549020931,0.018662030545341907,1030.0
loudness,-11.041467023490803,7.235298663369721e-27,1030.0
speechiness,-2.54115030026074,0.011194580053828514,1030.0
tempo,-2.9137238053881704,0.0036486517493020836,1030.0
valence,-5.151864799237473,3.089705798737746e-07,1030.0
