audio_feature,t,p,degrees_of_freedom
acousticness,0.13710164620220378,0.8909754721934396,1103.0
danceability,1.7383568238593454,0.08242700952174561,1103.0
energy,-1.364675071054826,0.1726335246414565,1103.0
instrumentalness,9.295958212109245,7.570036803108812e-20,1103.0
key,0.43991430826734973,0.6600853556574896,1103.0
liveness,-1.9026306014014835,0.05734897791995444,1103.0
loudness,-6.336794130788676,3.4116950530990005e-10,1103.0
speechiness,5.706106736171638,1.4842308524541827e-08,1103.0
tempo,-2.8140390706455727,0.004979272533786331,1103.0
valence,5.367513987169801,9.727312405755221e-08,1103.0
