audio_feature,t,p,degrees_of_freedom
acousticness,4.982896720612988,7.264795778661301e-07,1106.0
danceability,-0.34040884595101756,0.7336133016303641,1106.0
energy,-4.080797416554057,4.810610040816035e-05,1106.0
instrumentalness,-13.011585860892732,4.060780219363564e-36,1106.0
key,0.3017569445772549,0.7628940838088634,1106.0
liveness,-1.740832992175307,0.08199094384248268,1106.0
loudness,2.191652153348042,0.02861257746856506,1106.0
speechiness,1.6888661088809174,0.09152696518720911,1106.0
tempo,-1.1602329934921818,0.2462043422225666,1106.0
valence,9.465329507003098,1.7021670686363364e-20,1106.0
