audio_feature,t,p,degrees_of_freedom
acousticness,-4.950493355761496,8.573087651886925e-07,1089.0
danceability,2.1143702993809743,0.0347104331195275,1089.0
energy,3.103429122786527,0.001962233193062659,1089.0
instrumentalness,25.726619116400688,2.0199607021440206e-114,1089.0
key,0.1431916564095363,0.8861653091158341,1089.0
liveness,-0.04684803075821112,0.9626429375467049,1089.0
loudness,-8.709609193251246,1.1145739184962446e-17,1089.0
speechiness,4.803814304088036,1.7743659080876032e-06,1089.0
tempo,-1.793232958368544,0.07321308593741394,1089.0
valence,-3.782391456116769,0.0001637768289134029,1089.0
