audio_feature,t,p,degrees_of_freedom
acousticness,3.9872476490078506,7.113678603662769e-05,1130.0
danceability,-5.637831542677609,2.174111047993176e-08,1130.0
energy,-4.0430797174871405,5.632961489534518e-05,1130.0
instrumentalness,5.702973969261497,1.5021664202500298e-08,1130.0
key,-0.5379215012488411,0.5907371688905478,1130.0
liveness,-0.19334655900901954,0.8467223117917286,1130.0
loudness,-7.1401947180466605,1.6648775760350833e-12,1130.0
speechiness,-3.9694427199835234,7.658750603249334e-05,1130.0
tempo,-2.7264622669884693,0.006500754119095228,1130.0
valence,-4.501894967494703,7.432445219020755e-06,1130.0
