audio_feature,t,p,degrees_of_freedom
acousticness,21.41005994109744,2.617200593977931e-84,1022.0
danceability,-17.32168873236618,3.8992048882925237e-59,1022.0
energy,-23.78930739148955,6.680449387904049e-100,1022.0
instrumentalness,19.072309023689414,1.3011247765226233e-69,1022.0
key,-2.665528461491063,0.0078079744021250196,1022.0
liveness,-6.47580153407323,1.4624212715212609e-10,1022.0
loudness,-20.294305850373135,3.3233646360540415e-77,1022.0
speechiness,-8.001525518819667,3.31672275339787e-15,1022.0
tempo,-8.464425842939082,8.838388000517794e-17,1022.0
valence,-21.42712343856416,2.032591675840086e-84,1022.0
