audio_feature,t,p,degrees_of_freedom
acousticness,-45.528696810699294,9.208161951141864e-251,1050.0
danceability,24.240630558620946,1.893225982297896e-103,1050.0
energy,49.482115182565025,1.1383452790957396e-276,1050.0
instrumentalness,-17.028172565581613,1.3290284870699763e-57,1050.0
key,1.9611541523616414,0.050125029145859805,1050.0
liveness,9.131914335359074,3.3701892626719928e-19,1050.0
loudness,28.690032523871984,3.953279679941204e-134,1050.0
speechiness,12.031995566413077,2.4941824937872717e-31,1050.0
tempo,10.397302028484118,3.6241627051290785e-24,1050.0
valence,23.950615974044577,1.7171443282266278e-101,1050.0
