audio_feature,t,p,degrees_of_freedom
acousticness,-35.88152350286112,5.043497086708136e-189,1134.0
danceability,20.197056228247952,9.921780693504258e-78,1134.0
energy,41.98099094259045,3.746910542987032e-233,1134.0
instrumentalness,-10.433660081279456,2.1250805836362354e-24,1134.0
key,1.5484172576945066,0.1218008855023212,1134.0
liveness,9.651056299737661,3.1040949152997542e-21,1134.0
loudness,20.212181862345172,7.920640685536945e-78,1134.0
speechiness,8.457635570286113,8.305232133080974e-17,1134.0
tempo,7.101693442402928,2.1709720417764894e-12,1134.0
valence,22.315713077719156,9.68376948964634e-92,1134.0
