audio_feature,t,p,degrees_of_freedom
acousticness,-16.963573216159084,1.5176991421096788e-57,1106.0
danceability,12.73270217661322,9.388102184910629e-35,1106.0
energy,19.894467557304164,1.585502317314609e-75,1106.0
instrumentalness,-12.365692054507871,5.4251714446391755e-33,1106.0
key,2.2862582417571526,0.022427541393833017,1106.0
liveness,6.786503057229123,1.8692362796456254e-11,1106.0
loudness,12.336922416647125,7.428596209260465e-33,1106.0
speechiness,4.808407035299512,1.7314683470339177e-06,1106.0
tempo,5.768734103552944,1.0359062679801264e-08,1106.0
valence,19.72599940715266,1.873610371977389e-74,1106.0
